shipment_date,trial_date,predator,treatment,tod,choice,time_choice,percent
5/30/2024,5/31/2024,lacewing,wheast_control,11:15,,,0
5/30/2024,5/31/2024,lacewing,wheast_control,11:45,0,1:55,1
5/30/2024,5/31/2024,lacewing,wheast_control,1:10,1,7:27,1
5/30/2024,5/31/2024,lacewing,wheast_control,1:30,,,0
5/30/2024,5/31/2024,lacewing,wheast_control,1:50,,,0
5/30/2024,5/31/2024,lacewing,wheast_control,2:20,1,6:25,1
5/30/2024,5/31/2024,lacewing,wheast_control,2:45,1,1:04,1
5/30/2024,5/31/2024,lacewing,wheast_control,3:15,,,0
5/30/2024,5/31/2024,lacewing,wheast_control,3:40,0,8:10,1
5/30/2024,6/3/2024,lacewing,wheast_control,10:45,0,1:30,1
5/30/2024,6/3/2024,lacewing,wheast_control,11:00,,,0
5/30/2024,6/3/2024,lacewing,wheast_control,11:40,0,0:00,1
5/30/2024,6/3/2024,lacewing,wheast_control,1:15,,,0
5/30/2024,6/3/2024,lacewing,wheast_control,1:35,1,4:30,1
5/30/2024,6/3/2024,lacewing,wheast_control,2:00,1,0:13,1
5/30/2024,6/3/2024,lacewing,wheast_control,2:20,,,0
5/30/2024,6/3/2024,lacewing,wheast_control,2:40,,,0
5/30/2024,6/3/2024,lacewing,wheast_control,3:10,,,0
5/30/2024,6/3/2024,lacewing,wheast_control,3:26,,,0
5/30/2024,6/3/2024,lacewing,wheast_control,3:45,0,1:36,1
5/30/2024,6/4/2024,lacewing,wheast_control,9:00,1,2:30,1
5/30/2024,6/4/2024,lacewing,wheast_control,9:15,1,0:06,1
5/30/2024,6/4/2024,lacewing,wheast_control,1:50,0,3:30,1
5/30/2024,6/4/2024,lacewing,wheast_control,2:00,1,2:00,1
5/30/2024,6/4/2024,lacewing,wheast_control,2:20,1,0:14,1
5/30/2024,6/4/2024,lacewing,wheast_control,2:40,0,5:50,1
5/30/2024,6/4/2024,lacewing,wheast_control,2:55,1,0:25,1
5/30/2024,6/4/2024,lacewing,wheast_control,3:15,0,3:00,1
5/30/2024,6/4/2024,lacewing,wheast_control,3:30,,,0
5/30/2024,6/4/2024,lacewing,wheast_control,3:50,1,3:20,1
5/30/2024,6/4/2024,lacewing,wheast_control,4:05,,,0
5/30/2024,6/4/2024,lacewing,wheast_control,4:15,1,7:12,1
6/23/2024,6/27/2024,lacewing,cmbs_control,1:55,,,0
6/23/2024,6/27/2024,lacewing,cmbs_control,na,,,0
6/23/2024,6/27/2024,lacewing,cmbs_control,na,,,0
6/23/2024,6/27/2024,lacewing,cmbs_control,na,,,0
6/23/2024,6/27/2024,lacewing,cmbs_control,na,1,1:50,1
6/23/2024,6/27/2024,lacewing,cmbs_control,na,,,0
6/23/2024,6/27/2024,lacewing,cmbs_control,na,,,0
6/23/2024,6/27/2024,lacewing,cmbs_control,na,,,0
6/23/2024,7/3/2024,lacewing,cmbs_control,na,,,0
6/23/2024,7/3/2024,lacewing,cmbs_control,na,1,3:40,1
6/23/2024,7/3/2024,lacewing,cmbs_control,na,,,0
6/23/2024,7/3/2024,lacewing,cmbs_control,na,,,0
6/23/2024,7/3/2024,lacewing,cmbs_control,na,,,0
6/23/2024,7/3/2024,lacewing,cmbs_control,na,,,0
6/23/2024,7/3/2024,lacewing,cmbs_control,na,0,2:50,1
6/23/2024,7/3/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,1,1:16,1
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,0,1:30,1
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,0,5:00,1
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,0,3:00,1
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,aphids_control,na,,,0
8/13/2024,8/16/2024,lacewing,aphids_control,na,0,5:00,1
8/13/2024,8/16/2024,lacewing,aphids_control,na,0,5:18,1
8/13/2024,8/16/2024,lacewing,aphids_control,na,1,1:00,1
8/13/2024,8/16/2024,lacewing,aphids_control,na,1,1:30,1
8/13/2024,8/16/2024,lacewing,aphids_control,na,,,0
8/13/2024,8/16/2024,lacewing,aphids_control,na,1,1:50,1
8/13/2024,8/16/2024,lacewing,aphids_control,na,,,0
8/13/2024,8/16/2024,lacewing,aphids_control,na,0,6:00,1
8/13/2024,8/16/2024,lacewing,aphids_control,na,1,7:30,1
8/13/2024,8/16/2024,lacewing,aphids_control,na,0,8:30,1
8/13/2024,8/16/2024,lacewing,aphids_control,na,1,6:30,1
8/13/2024,8/16/2024,lacewing,aphids_control,na,0,8:30,1
8/13/2024,8/16/2024,lacewing,aphids_control,na,1,2:00,1
8/13/2024,19-Aug,lacewing,aphids_control,na,,,0
8/13/2024,19-Aug,lacewing,aphids_control,na,,,0
8/13/2024,19-Aug,lacewing,aphids_control,na,1,7:30,1
8/13/2024,19-Aug,lacewing,aphids_control,na,,,0
8/13/2024,19-Aug,lacewing,aphids_control,na,0,3:12,1
8/13/2024,19-Aug,lacewing,aphids_control,na,,,0
8/13/2024,19-Aug,lacewing,aphids_control,na,1,8:00,1
8/13/2024,19-Aug,lacewing,aphids_control,na,,,0
8/13/2024,19-Aug,lacewing,aphids_control,na,1,7:00,1
8/13/2024,19-Aug,lacewing,aphids_control,na,,,0
8/13/2024,19-Aug,lacewing,aphids_control,na,1,3:20,1
8/13/2024,19-Aug,lacewing,aphids_control,na,,,0
8/13/2024,19-Aug,lacewing,aphids_control,na,0,2:00,1
8/13/2024,19-Aug,lacewing,aphids_control,na,1,7:00,1
8/13/2024,19-Aug,lacewing,aphids_control,na,,,0
8/13/2024,19-Aug,lacewing,aphids_control,na,,,0
8/13/2024,19-Aug,lacewing,aphids_control,na,,,0
8/13/2024,19-Aug,lacewing,aphids_control,na,1,4:00,1
8/13/2024,19-Aug,lacewing,aphids_control,na,,,0
8/13/2024,19-Aug,lacewing,aphids_control,na,1,9:00,1
6/6/2024,6/7/2024,sdb,wheast_control,11:00,,,0
6/6/2024,6/7/2024,sdb,wheast_control,11:17,1,0,1
6/6/2024,6/7/2024,sdb,wheast_control,11:30,,,0
6/6/2024,6/7/2024,sdb,wheast_control,12:00,1,2:50,1
6/6/2024,6/7/2024,sdb,wheast_control,12:20,,,0
6/6/2024,6/7/2024,sdb,wheast_control,12:50,,,0
6/6/2024,6/7/2024,sdb,wheast_control,1:30,0,0:10,1
6/6/2024,6/7/2024,sdb,wheast_control,1:45,1,0:22,1
6/6/2024,6/7/2024,sdb,wheast_control,2:30,,,0
6/6/2024,6/7/2024,sdb,wheast_control,3:00,,,0
6/6/2024,6/7/2024,sdb,wheast_control,3:30,1,0:40,1
7/10/2024,7/12/2024,sdb,wheast_control,8:00,,,0
7/10/2024,7/12/2024,sdb,wheast_control,8:10,0,0,1
7/10/2024,7/12/2024,sdb,wheast_control,8:25,1,8:00,1
7/10/2024,7/12/2024,sdb,wheast_control,9:00,0,8:00,1
7/10/2024,7/12/2024,sdb,wheast_control,9:22,,,0
7/10/2024,7/12/2024,sdb,wheast_control,9:44,1,5:25,1
7/10/2024,7/12/2024,sdb,wheast_control,10:09,0,1:00,1
7/10/2024,7/12/2024,sdb,wheast_control,10:22,1,9:25,1
7/10/2024,7/12/2024,sdb,wheast_control,10:48,,,0
7/10/2024,7/12/2024,sdb,wheast_control,11:08,,,0
7/10/2024,7/12/2024,sdb,wheast_control,11:29,1,0:10,1
7/10/2024,7/12/2024,sdb,wheast_control,12:00,,,0
7/10/2024,7/12/2024,sdb,wheast_control,1:17,0,1:45,1
7/10/2024,7/12/2024,sdb,wheast_control,1:38,,,0
7/10/2024,7/12/2024,sdb,wheast_control,2:01,,,0
7/10/2024,7/15/2024,sdb,wheast_control,1:45,,,0
7/10/2024,7/15/2024,sdb,wheast_control,2:00,,,0
7/10/2024,7/15/2024,sdb,wheast_control,2:26,1,6:36,1
7/10/2024,7/15/2024,sdb,wheast_control,2:44,1,6:34,1
7/10/2024,7/15/2024,sdb,wheast_control,3:12,,,0
7/10/2024,7/15/2024,sdb,wheast_control,10:20,1,8:15,1
7/10/2024,7/15/2024,sdb,wheast_control,1:40,0,0:20,1
7/10/2024,7/15/2024,sdb,wheast_control,2:00,1,4:20,1
7/10/2024,7/15/2024,sdb,wheast_control,2:15,,,0
7/10/2024,7/15/2024,sdb,wheast_control,2:25,1,0:30,1
7/10/2024,7/15/2024,sdb,wheast_control,3:00,,,0
7/10/2024,7/15/2024,sdb,wheast_control,3:30,,,0
7/10/2024,7/15/2024,sdb,wheast_control,3:45,1,2:14,1
7/10/2024,7/18/2024,sdb,cmbs_control,na,1,8:23,1
7/10/2024,7/18/2024,sdb,cmbs_control,na,0,8:25,1
7/10/2024,7/18/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/18/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/18/2024,sdb,cmbs_control,na,0,0:30,1
7/10/2024,7/18/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/18/2024,sdb,cmbs_control,na,0,0:30,1
7/10/2024,7/18/2024,sdb,cmbs_control,na,1,6:00,1
7/10/2024,7/18/2024,sdb,cmbs_control,na,1,2:26,1
7/10/2024,7/24/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/24/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/24/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/24/2024,sdb,cmbs_control,na,1,4:30,1
7/10/2024,7/24/2024,sdb,cmbs_control,na,0,1:30,1
7/10/2024,7/24/2024,sdb,cmbs_control,na,1,8:30,1
7/10/2024,7/24/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/24/2024,sdb,cmbs_control,na,0,5:00,1
7/10/2024,7/24/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/24/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/30/2024,sdb,cmbs_control,na,1,4:00,1
7/10/2024,7/30/2024,sdb,cmbs_control,na,1,1:30,1
7/10/2024,7/30/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/30/2024,sdb,cmbs_control,na,0,4:00,1
7/10/2024,7/30/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/30/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/29/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/29/2024,sdb,cmbs_control,na,0,9:30,1
7/10/2024,7/29/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/29/2024,sdb,cmbs_control,na,0,9:00,1
7/10/2024,7/29/2024,sdb,cmbs_control,na,1,7:25,1
7/10/2024,7/29/2024,sdb,cmbs_control,na,,,0
7/10/2024,7/29/2024,sdb,cmbs_control,na,1,6:30,1
7/10/2024,7/29/2024,sdb,cmbs_control,na,0,9:50,1
7/10/2024,7/29/2024,sdb,cmbs_control,na,1,2:00,1
7/10/2024,7/29/2024,sdb,cmbs_control,na,1,9:00,1
7/10/2024,7/30/2024,sdb,aphids_control,na,1,1:50,1
7/10/2024,7/30/2024,sdb,aphids_control,na,1,4:30,1
7/10/2024,7/30/2024,sdb,aphids_control,na,,,0
7/10/2024,7/30/2024,sdb,aphids_control,na,1,1:30,1
7/10/2024,7/30/2024,sdb,aphids_control,na,0,3:00,1
7/10/2024,7/30/2024,sdb,aphids_control,na,0,6:20,1
7/10/2024,7/30/2024,sdb,aphids_control,na,1,1:00,1
7/10/2024,7/30/2024,sdb,aphids_control,na,1,9:30,1
7/10/2024,7/30/2024,sdb,aphids_control,na,0,0:11,1
7/10/2024,7/30/2024,sdb,aphids_control,na,1,6:50,1
7/10/2024,7/30/2024,sdb,aphids_control,na,1,4:30,1
7/10/2024,7/30/2024,sdb,aphids_control,na,,,0
7/10/2024,7/30/2024,sdb,aphids_control,na,,,0
7/10/2024,7/30/2024,sdb,aphids_control,na,0,4:30,1
7/10/2024,7/30/2024,sdb,aphids_control,na,1,2:30,1
7/10/2024,7/30/2024,sdb,aphids_control,na,,,0
7/10/2024,7/30/2024,sdb,aphids_control,na,1,2:30,1
7/10/2024,7/30/2024,sdb,aphids_control,na,0,7:00,1
7/10/2024,7/30/2024,sdb,aphids_control,na,1,3:40,1
7/10/2024,7/30/2024,sdb,aphids_control,na,1,9:00,1
7/10/2024,7/30/2024,sdb,aphids_control,na,0,5:00,1
7/10/2024,7/30/2024,sdb,aphids_control,na,1,3:00,1
7/10/2024,7/30/2024,sdb,aphids_control,na,1,2:00,1
7/10/2024,7/30/2024,sdb,aphids_control,na,1,4:00,1
